2010/01/01 - 2010/02/01,1
2010/02/01 - 2010/03/04,1
2010/03/04 - 2010/04/04,2
2010/04/04 - 2010/05/05,2
2010/05/05 - 2010/06/05,8
2010/06/05 - 2010/07/06,7
2010/07/06 - 2010/08/06,16
2010/08/06 - 2010/09/06,85
2010/09/06 - 2010/10/07,190
2010/10/07 - 2010/11/07,285
2010/11/07 - 2010/12/08,597
2010/12/08 - 2011/01/08,1468
2011/01/08 - 2011/02/08,2238
2011/02/08 - 2011/03/11,4607
2011/03/11 - 2011/04/11,6219
2011/04/11 - 2011/05/12,9030
2011/05/12 - 2011/06/12,10100
2011/06/12 - 2011/07/13,10984
2011/07/13 - 2011/08/13,9802
2011/08/13 - 2011/09/13,9645
2011/09/13 - 2011/10/14,7816
2011/10/14 - 2011/11/14,6089
2011/11/14 - 2011/12/15,7105
2011/12/15 - 2012/01/15,8455
2012/01/15 - 2012/02/15,8178
2012/02/15 - 2012/03/17,9493
2012/03/17 - 2012/04/17,9428
2012/04/17 - 2012/05/18,9202
2012/05/18 - 2012/06/18,10867
2012/06/18 - 2012/07/19,11942
2012/07/19 - 2012/08/19,10306
2012/08/19 - 2012/09/19,1416
2012/09/19 - 2012/10/20,0
2012/10/20 - 2012/11/20,0
2012/11/20 - 2012/12/21,0
